 show conn | grep outside2.*172.22.0.11
TCP outside2 187.66.28.25:50815 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 2506, flags UIOB
TCP outside2 189.63.231.29:20577 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 2460, flags UIOB
TCP outside2 187.106.231.23:58430 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3514, flags UIOB
TCP outside2 201.95.145.76:52841 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3418, flags UIOB
TCP outside2 177.68.183.226:65345 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3118, flags UIOB
TCP outside2 177.68.183.226:65346 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3267, flags UIOB
TCP outside2 191.189.37.199:30369 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3242, flags UIOB
TCP outside2 189.68.128.252:23161 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3498, flags UIOB
TCP outside2 167.249.56.227:50137 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3498, flags UIOB
TCP outside2 167.249.56.227:50138 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 753, flags UIOB
TCP outside2 177.188.245.199:49967 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 0, flags aB
TCP outside2 167.249.56.227:50136 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 20199, flags UIOB
TCP outside2 179.156.245.11:58248 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3295, flags UIOB
TCP outside2 167.250.249.48:49454 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3274, flags UIOB
TCP outside2 187.11.190.86:20161 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3290, flags UIOB
TCP outside2 152.251.35.174:56907 pje-dmz 172.22.0.11:80, idle 0:00:00, bytes 1181, flags UIOB
TCP outside2 152.251.35.174:56906 pje-dmz 172.22.0.11:80, idle 0:00:00, bytes 0, flags UfFRB
TCP outside2 187.11.190.86:20129 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 32844, flags UIOB
TCP outside2 179.98.81.248:50108 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 753, flags UIOB
TCP outside2 177.193.123.159:61767 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 753, flags UIOB
TCP outside2 177.193.123.159:61766 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 753, flags UIOB
<--- More --->
              TCP outside2 179.156.94.182:49873 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 4975, flags UIOB
TCP outside2 187.106.211.39:49254 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3434, flags UIOB
TCP outside2 189.15.241.35:54206 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3386, flags UIOB
TCP outside2 164.85.82.103:4456 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3274, flags UIOB
TCP outside2 177.83.136.235:52274 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 678, flags UIOB
TCP outside2 179.98.81.248:50107 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3626, flags UIOB
TCP outside2 200.205.51.226:36151 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 5474, flags UIOB
TCP outside2 179.98.81.248:50106 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3466, flags UIOB
TCP outside2 179.159.38.236:52845 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3130, flags UIOB
TCP outside2 179.157.56.111:49476 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 7210, flags UIOB
TCP outside2 189.9.73.102:24872 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 5562, flags UIOB
TCP outside2 179.217.131.150:62713 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3610, flags UIOB
TCP outside2 179.211.111.61:58021 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3594, flags UIOB
TCP outside2 177.194.125.138:60718 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3642, flags UIOB
TCP outside2 177.83.75.21:59967 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 753, flags UIOB
TCP outside2 179.216.126.108:49429 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3482, flags UIOB
TCP outside2 177.68.156.63:8097 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3386, flags UIOB
TCP outside2 177.188.245.199:49966 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 0, flags aB
TCP outside2 177.154.95.152:11103 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 11244, flags UIOB
TCP outside2 177.154.95.152:42902 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 25018, flags UIOB
TCP outside2 186.219.108.174:50857 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 6348, flags UIOB
TCP outside2 201.43.225.5:51915 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 5584, flags UIOB
TCP outside2 179.234.38.20:55773 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 18750, flags UIOB
TCP outside2 177.103.235.49:50855 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 753, flags UIOB
<--- More --->
              TCP outside2 177.103.235.49:50854 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 753, flags UIOB
TCP outside2 177.103.235.49:50853 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 753, flags UIOB
TCP outside2 177.103.235.49:50852 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 753, flags UIOB
TCP outside2 177.103.235.49:50851 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 753, flags UIOB
TCP outside2 201.86.113.86:42530 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3402, flags UIOB
TCP outside2 201.43.139.158:60610 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 659, flags UIOB
TCP outside2 200.52.21.166:26110 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3196, flags UIOB
TCP outside2 191.8.87.94:56368 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3226, flags UIOB
TCP outside2 177.83.136.235:52273 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 678, flags UIOB
TCP outside2 179.235.11.192:65126 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 3951, flags UIOB
TCP outside2 201.16.223.129:58642 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 2911, flags UIOB
TCP outside2 201.16.223.129:58640 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 5720, flags UIOB
TCP outside2 201.93.26.114:50597 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 678, flags UIOB
TCP outside2 201.16.223.129:58639 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 5576, flags UIOB
TCP outside2 179.216.244.13:64394 pje-dmz 172.22.0.11:443, idle 0:00:01, bytes 3450, flags UIOB
TCP outside2 189.46.212.222:62427 pje-dmz 172.22.0.11:443, idle 0:00:00, bytes 0, flags UB
